"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"Standard error",0.999999999999996,0.687002008157008,0.0996642398272144,1,1
"Laboratory experiment",0.999883015704132,0.0523301740292776,0.0114700004154074,1,18
"Cross-section",0.994873267106267,-0.0292835205641502,0.00777356472672546,0,33
"Task: cognitive",0.993455133716049,0.0332459819289911,0.0080336944307044,1,8
"Positive framing",0.956906305590669,-0.0386389870481064,0.0130570364135082,0,11
"Gender: males",0.858901119499573,-0.0353374257510438,0.0178508089115225,0,22
"Task: appealing",0.642120521890436,0.0134692703927104,0.0113138739502501,1,7
"Control: no incentive",0.592304465966336,0.0143466928413199,0.013411833435877,1,14
"Effect: positive",0.460343119664966,0.0132307607295219,0.0158556435344842,1,6
"Preferred estimate",0.397955127538273,0.00657894416690267,0.0088652736557656,1,2
"Performance: quantitative",0.309456601532623,-0.00672058489721467,0.0109500282679021,0,9
"Method: tobit",0.181952034436104,0.00701067959847356,0.0162713920529028,1,29
"Impact factor",0.158548258876998,0.00237001696206092,0.00601970143873946,1,34
"Method: probit",0.133423760038951,0.00348025472252118,0.00977334776386155,1,28
"Motivation: altruism",0.06606467482912,-0.00103511659686172,0.00439808344668274,0,15
"Method: fixed-effects",0.0359098213971355,0.000860836422077542,0.00522036671215334,0.99999138,30
"Method: random-effects",0.0336264530153118,-0.000920185088865154,0.00577528515579687,0,31
"Effect: grades",0.032300874084091,-0.000719513197079841,0.00503889830953918,0.0331441,3
"Method: OLS",0.0308379131601613,-0.000295739132619836,0.00195694405993111,0.00522157,26
"Subjects' age",0.0262798440963061,0.000320302227904376,0.002488491222236,0.9951833,23
"Citations",0.0225991695745034,-0.00013213114133102,0.00109171652583915,0.02506215,35
"All subjects paid",0.0211698827320488,-0.000217635346910088,0.0019383263171641,0.05663363,12
"Subjects: students",0.0173765412115185,0.000237563261473491,0.00249018894439513,0.95083928,20
"Subjects: employees",0.0171877113766033,-0.000245829520690086,0.0024066473762912,0.00464484,21
"Reward size",0.0170152663044132,0.000193018852959602,0.00191739997316111,0.98983292,10
"Individual reward",0.01648726112692,0.000180468534325828,0.00182336324871893,0.98573736,13
"Motivation: fairness",0.0162950201106979,0.000258322784141252,0.00266915527838872,0.9614627,17
"Method: DID",0.0143266828908007,0.000288311034966681,0.00311624238644235,0.99888608,32
"Crowding-out theory",0.0133042378098021,8.23442912926111e-05,0.000988392046703248,1,19
"Effect: charity",0.012321876686361,-0.000111181233591241,0.00161690792954795,0.1100949,4
"Motivation: reciprocity",0.00890198969384052,-6.49012744127397e-05,0.00125985863874718,0.06669802,16
"Data year",0.00861393875616936,0.00760851914463117,0.142566742912866,0.97888471,24
"Effect: game",0.00776239465137272,-1.14771267128846e-05,0.00126466160327309,0.55691546,5
"Method: logit",0.00701507931176175,3.38623398128576e-05,0.00111332117331924,0.92380893,27
"Developed country",0.00630499116287328,-1.06460003890727e-05,0.000591245525479074,0.29638566,25
"(Intercept)",1,-0.0337735696428559,NA,NA,0
