"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"Standard error",0.999999999999999,0.687059706536167,0.0995976615483862,1,1
"Laboratory experiment",0.999732486330811,0.0523503544812446,0.0114946386501606,1,18
"Cross-section",0.995031065650388,-0.0292988194792516,0.00776653307414959,0,33
"Task: cognitive",0.993546363210139,0.033239474633917,0.00802306074406751,1,8
"Positive framing",0.956362430241588,-0.0386183043566131,0.0130862334966372,0,11
"Gender: males",0.859056079922338,-0.0353487191406375,0.0178475468188404,0,22
"Task: appealing",0.644810469864428,0.0135298032072317,0.0113055808594764,1,7
"Control: no incentive",0.593136352986854,0.0143623282119211,0.0134032175349538,1,14
"Effect: positive",0.459766145966904,0.0132157212402799,0.0158527035960699,1,6
"Preferred estimate",0.397440775990618,0.00656794933144275,0.00885987366693849,1,2
"Performance: quantitative",0.3094612158084,-0.00672337102951683,0.0109540309182908,0,9
"Method: tobit",0.179559885254836,0.00691870919111614,0.0161838047441484,1,29
"Impact factor",0.158690999988886,0.00236309815435017,0.00599979105436049,0.99995978,34
"Method: probit",0.132832540812974,0.00346464018296745,0.00975758844555419,1,28
"Motivation: altruism",0.0655795502424061,-0.00102967694790186,0.00438971840553941,3.78e-06,15
"Method: fixed-effects",0.0356551201624093,0.000855448234765941,0.0052032862205296,1,30
"Method: random-effects",0.0335943585561638,-0.000923517025209208,0.00579094902779931,0,31
"Effect: grades",0.0314981776438831,-0.000693827848557206,0.00498799146751109,0.03700125,3
"Method: OLS",0.0312708608118662,-0.000298951018315748,0.00196742265353379,0.00685696,26
"Subjects' age",0.026516442732511,0.000316807117930431,0.00243425057705159,0.99465113,23
"Citations",0.0217457436405339,-0.000126656995389694,0.00106962439505996,0.02059033,35
"All subjects paid",0.0212915154895782,-0.000219563095366075,0.00195097602262304,0.05624594,12
"Subjects: employees",0.0174364360632922,-0.000247205663174583,0.00241438906498599,0.00510901,21
"Motivation: fairness",0.0172375865808497,0.000273288462893341,0.00275967618328887,0.96545686,17
"Subjects: students",0.0169552966625524,0.000233654246762306,0.00246727624561777,0.95746861,20
"Reward size",0.0169207196434711,0.00019081654478327,0.00189800832335405,0.99248915,10
"Individual reward",0.016630784474511,0.000178943956669813,0.00180220227627276,0.98584737,13
"Method: DID",0.0150001747114947,0.000298060455199908,0.00317675430548668,0.99252908,32
"Crowding-out theory",0.0123859727895588,7.64063787816965e-05,0.000954264236830992,1,19
"Effect: charity",0.0119016199503353,-0.000111000761050167,0.00161337073668406,0.09852534,4
"Motivation: reciprocity",0.00876174652535825,-6.9888438926499e-05,0.00127863870176383,0.03754161,16
"Data year",0.0086659827500348,0.00805834280216152,0.146570038782966,0.97911518,24
"Effect: game",0.00756547806653939,-7.83056642044373e-06,0.00128839954760362,0.5600585,5
"Method: logit",0.00713337860726931,3.49044884270816e-05,0.00112315016199942,0.92951985,27
"Developed country",0.00634411984158318,-1.29381645913392e-05,0.00060796568442138,0.27760745,25
"(Intercept)",1,-0.0371920727753804,NA,NA,0
